word,chapter,volume,type
あ,7,1,vocab
ありがとう,7,1,vocab
ありがとうございます,7,1,vocab
いいえ,7,1,vocab
おはようございます,7,1,vocab
お休みなさい,7,1,vocab
お元気ですか。,7,1,vocab
お名前,7,1,vocab
お名前は何ですか。,7,1,vocab
お辞儀,7,1,vocab
か,7,1,vocab
こんにちは,7,1,vocab
です,7,1,vocab
どういたしまして,7,1,vocab
どうぞよろしく,7,1,vocab
どうもありがとうございます,7,1,vocab
は,7,1,vocab
はい,7,1,vocab
アメリカ,7,1,vocab
アメリカ人,7,1,vocab
カナダ,7,1,vocab
ジョン,7,1,vocab
今晩は,7,1,vocab
何,7,1,vocab
何,7,1,vocab
元気です。,7,1,vocab
初めまして,7,1,vocab
日本,7,1,vocab
日本人,7,1,vocab
真理子,7,1,vocab
～人,7,1,vocab
でしょう,8,1,vocab
りんご,8,1,vocab
ペン,8,1,vocab
水,8,1,vocab
犬,8,1,vocab
猫,8,1,vocab
鉛筆,8,1,vocab
馬,8,1,vocab
鳥,8,1,vocab
お手洗い,9,1,vocab
お箸,9,1,vocab
お風呂,9,1,vocab
お風呂場,9,1,vocab
エアコン,9,1,vocab
カウチ,9,1,vocab
コップ,9,1,vocab
コンピューター,9,1,vocab
スプーン,9,1,vocab
テレビ,9,1,vocab
テーブル,9,1,vocab
トイレ,9,1,vocab
ドア,9,1,vocab
ナイフ,9,1,vocab
ベッド,9,1,vocab
ラジオ,9,1,vocab
冷蔵庫,9,1,vocab
台所,9,1,vocab
壁,9,1,vocab
天井,9,1,vocab
家,9,1,vocab
居間,9,1,vocab
屋根,9,1,vocab
布団,9,1,vocab
床,9,1,vocab
時計,9,1,vocab
本,9,1,vocab
本棚,9,1,vocab
椅子,9,1,vocab
流し台,9,1,vocab
畳,9,1,vocab
皿,9,1,vocab
窓,9,1,vocab
茶碗,9,1,vocab
部屋,9,1,vocab
障子,9,1,vocab
一,10,1,vocab
七,10,1,vocab
七,10,1,vocab
七十,10,1,vocab
七千,10,1,vocab
七百,10,1,vocab
万,10,1,vocab
三,10,1,vocab
三十,10,1,vocab
三千,10,1,vocab
三百,10,1,vocab
九,10,1,vocab
九,10,1,vocab
